id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,next_put_dt,put_price,put_convert_price,maturity_dt,redeem_price,last_time,force_redeem,redeem_dt,force_redeem_price
128014,永东转债,002753.sz,永东股份,124.844,105.67,18.15%,AA-,2.33,10.5%,6.8%,2021-04-17,100.000,8.76,2023-04-17,108.000,1.584,X,,16.28
128066,亚泰转债,002811.sz,郑中设计,104.452,88.35,18.23%,AA-,1.47,24.1%,21.7%,2023-04-17,100.000,6.49,2025-04-17,112.000,3.586,X,,12.05
123024,岱勒转债,300700.sz,岱勒新材,116.23,98.3,18.24%,A+,2.87,19.6%,14.1%,2022-03-21,100.000,9.87,2024-03-21,110.000,2.512,X,,18.33
113603,东缆转债,603606.ss,东方电缆,139.26,117.97,18.05%,AA,5.01,4.4%,4.4%,2024-09-23,100.000,16.55,2026-09-23,110.000,5.022,X,,30.75
113011,光大转债,601818.ss,光大银行,114.68,96.62,18.69%,AAA,0.40,17.1%,13.1%,,,-,2023-03-17,105.000,1.499,X,,4.62
128033,迪龙转债,002658.sz,雪迪龙,124.26,104.94,18.41%,AA,2.34,9.8%,5.2%,2021-12-27,100.000,6.10,2023-12-27,106.000,2.279,X,,11.32
113582,火炬转债,603678.ss,火炬电子,326.06,275.19,18.49%,AA,7.42,1.3%,1.3%,2024-05-27,100.000,17.49,2026-05-27,110.000,4.696,N,,32.49
113516,苏农转债,603323.ss,苏农银行,116.9,98.7,18.44%,AA+,0.76,16.9%,13.5%,,,-,2024-08-01,110.000,2.877,X,,6.98
113546,迪贝转债,603320.ss,迪贝电气,117.48,98.71,19.02%,A+,2.38,12.8%,12.8%,2023-10-23,100.000,9.80,2025-10-22,115.000,4.101,X,,18.20
123103,震安转债,300767.sz,震安科技,207.53,174.21,19.13%,A+,16.08,2.4%,1.4%,2025-03-11,100.000,39.82,2027-03-11,115.000,5.485,X,,73.96
123105,拓尔转债,300229.sz,拓尔思,125.541,105.12,19.43%,AA-,3.22,10.8%,10.7%,2025-03-18,100.000,6.97,2027-03-18,115.000,5.504,X,,12.95
127028,英特转债,000411.sz,英特集团,108.598,90.52,19.97%,AA+,1.64,23.9%,19.9%,2025-01-06,100.000,9.38,2027-01-04,108.000,5.304,X,,17.42
128076,金轮转债,002722.sz,金轮股份,114.999,95.77,20.08%,AA-,1.26,8.7%,8.7%,2023-10-13,100.000,10.26,2025-10-14,110.000,4.079,X,,19.06
113598,法兰转债,603966.ss,法兰泰克,112.99,93.81,20.45%,AA-,2.23,10.1%,10.1%,2024-07-30,100.000,6.79,2026-07-30,115.000,4.871,X,,12.61
113044,大秦转债,601006.ss,大秦铁路,104.51,86.77,20.44%,AAA,0.77,34.5%,34.5%,2024-12-13,100.000,5.03,2026-12-13,108.000,5.244,X,,8.62
113599,嘉友转债,603871.ss,嘉友国际,112.6,93.23,20.78%,AA-,2.33,14.8%,14.8%,2024-08-04,100.000,12.82,2026-08-04,120.000,4.885,X,,23.82
123114,三角转债,300775.sz,三角防务,171.178,141.61,20.88%,AA-,10.11,7.6%,4.0%,2025-05-26,100.000,22.27,2027-05-24,115.000,5.688,X,,41.37
128073,哈尔转债,002615.sz,哈尔斯,115.72,95.62,21.02%,AA-,2.59,23.7%,13.3%,2022-08-22,100.000,4.00,2024-08-22,112.000,2.934,X,,7.42
127039,北港转债,000582.sz,北部湾港,120.827,99.76,21.12%,AAA,1.29,28.4%,22.0%,2025-06-27,100.000,5.84,2027-06-30,108.000,5.789,X,,10.86
127014,北方转债,000065.sz,北方国际,121.234,100.12,21.09%,AA+,1.14,9.1%,8.0%,2023-10-23,100.000,6.05,2025-10-23,110.000,4.104,X,,11.24
123087,明电转债,300739.sz,明阳电路,121.389,100.12,21.24%,AA-,3.32,8.9%,8.7%,2025-12-15,100.000,9.79,2026-12-14,115.000,5.247,X,,21.22
123048,应急转债,300527.sz,中船应急,128.2,105.63,21.37%,AA+,3.25,4.2%,4.2%,2024-04-09,100.000,6.22,2026-04-09,108.000,4.564,N,,11.54
113567,君禾转债,603617.ss,君禾股份,112.78,92.74,21.61%,A+,2.85,10.2%,10.2%,2024-03-04,100.000,7.81,2026-03-03,113.000,4.463,X,,14.51
113593,沪工转债,603131.ss,上海沪工,128.43,105.54,21.69%,A+,5.41,6.0%,5.6%,2024-07-22,100.000,14.78,2026-07-19,115.000,4.841,X,,27.46
113013,国君转债,601211.ss,国泰君安,119.96,98.54,21.74%,AAA,1.16,5.2%,4.3%,,,-,2023-07-06,105.000,1.803,X,,23.98
123045,雷迪转债,300652.sz,雷迪克,119.999,98.42,21.93%,A+,1.92,10.3%,9.1%,2024-03-11,100.000,13.74,2026-03-11,113.000,4.485,X,,25.52
127017,万青转债,000789.sz,万年青,134.668,110.4,21.98%,AA+,1.78,8.4%,8.4%,2024-06-03,100.000,9.42,2026-06-02,113.000,4.712,X,,17.50
110053,苏银转债,600919.ss,江苏银行,118.54,97.17,21.99%,AAA,0.50,22.0%,21.9%,,,-,2025-03-13,111.000,3.490,X,,8.28
123038,联得转债,300545.sz,联得装备,126.17,103.41,22.01%,A+,3.12,7.5%,3.3%,2023-12-25,100.000,16.85,2025-12-24,113.000,4.274,N,,31.29
123002,国祯转债,300388.sz,节能国祯,115.062,93.78,22.69%,AA,1.51,4.6%,4.6%,2021-11-24,100.000,5.85,2023-11-24,106.000,2.189,X,,10.87
110073,国投转债,600061.ss,国投资本,115.8,94.44,22.62%,AAA,1.27,13.3%,13.3%,,,-,2026-07-23,107.000,4.852,X,,12.87
127034,绿茵转债,002887.sz,绿茵生态,105.18,85.78,22.62%,AA-,1.53,41.8%,21.5%,2025-04-29,100.000,8.67,2027-04-29,113.000,5.619,X,,16.09
127041,弘亚转债,002833.sz,弘亚数控,129.3,105.17,22.94%,AA-,6.59,8.3%,4.9%,2024-07-12,100.000,26.66,2026-07-13,115.000,4.825,X,,49.52
113608,威派转债,603956.ss,威派格,114.65,93.24,22.96%,A+,6.29,26.9%,5.5%,2024-11-09,100.000,13.36,2026-11-08,115.000,5.148,X,,24.80
123120,隆华转债,300263.sz,隆华科技,177.039,143.94,22.99%,AA-,3.65,9.3%,7.8%,2025-07-29,100.000,5.43,2027-07-29,115.000,5.868,X,,10.09
113049,长汽转债,601633.ss,长城汽车,186.6,151.02,23.56%,AAA,8.99,1.0%,0.7%,2025-06-09,100.000,26.81,2027-06-09,107.000,5.732,X,,49.79
113614,健20转债,603707.ss,健友股份,127.6,103.54,23.24%,AA,8.80,2.1%,2.1%,2024-12-16,100.000,20.38,2026-12-16,109.000,5.252,X,,37.86
123023,迪森转债,300335.sz,迪森股份,112.493,90.86,23.81%,AA-,1.56,29.9%,22.7%,2024-03-20,100.000,4.82,2025-03-20,110.000,3.510,X,,8.96
128039,三力转债,002224.sz,三力士,113.204,91.36,23.91%,AA-,1.61,7.1%,5.2%,2022-06-08,100.000,4.05,2024-06-07,106.000,2.726,X,,7.53
123025,精测转债,300567.sz,精测电子,140.0,112.92,23.98%,AA-,4.77,3.3%,2.0%,2023-03-29,100.000,34.56,2025-03-28,112.000,3.532,N,,64.18
123053,宝通转债,300031.sz,宝通科技,138.997,112.1,23.99%,AA-,2.85,6.7%,5.5%,2024-06-04,100.000,14.35,2026-06-04,115.000,4.718,X,,26.65
128071,合兴转债,002228.sz,合兴包装,109.844,88.52,24.09%,AA,1.30,6.6%,6.5%,2023-08-15,100.000,2.93,2025-08-15,110.000,3.915,X,,5.43
128137,洁美转债,002859.sz,洁美科技,130.18,104.6,24.46%,AA-,5.93,5.1%,5.1%,2024-11-04,100.000,19.34,2026-11-03,112.000,5.134,X,,35.92
113050,南银转债,601009.ss,南京银行,114.62,91.98,24.61%,AAA,0.82,25.4%,21.5%,,,-,2027-06-14,107.000,5.745,X,,13.13
128101,联创转债,002036.sz,联创电子,145.0,116.4,24.57%,AA,4.42,1.8%,1.8%,2024-03-18,100.000,9.60,2026-03-16,110.000,4.499,X,,17.84
127038,国微转债,002049.sz,紫光国微,180.5,144.77,24.68%,AA+,19.63,1.2%,1.2%,2025-06-09,100.000,96.45,2027-06-09,110.000,5.732,X,,179.11
110067,华安转债,600909.ss,华安证券,112.35,90.03,24.79%,AAA,1.41,10.6%,10.6%,,,-,2026-03-11,107.000,4.485,X,,8.09
113535,大业转债,603278.ss,大业股份,109.54,87.71,24.89%,AA,1.68,16.0%,16.0%,2022-05-09,100.000,8.60,2024-05-08,110.000,2.644,X,,15.98
113600,新星转债,603978.ss,深圳新星,112.41,89.81,25.16%,AA-,2.05,17.4%,17.4%,2024-08-12,100.000,16.70,2026-08-12,120.000,4.907,X,,31.00
