id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,next_put_dt,put_price,put_convert_price,maturity_dt,redeem_price,last_time,force_redeem,redeem_dt,force_redeem_price
113603,东缆转债,603606.ss,东方电缆,136.65,111.75,22.28%,AA,4.75,4.6%,4.6%,2024-09-23,100.000,16.55,2026-09-23,110.000,5.027,X,,30.75
113516,苏农转债,603323.ss,苏农银行,119.08,97.21,22.50%,AA+,0.75,17.1%,13.7%,,,-,2024-08-01,110.000,2.882,X,,6.98
113598,法兰转债,603966.ss,法兰泰克,116.71,95.26,22.52%,AA-,2.26,10.0%,9.9%,2024-07-30,100.000,6.79,2026-07-30,115.000,4.877,X,,12.61
127034,绿茵转债,002887.sz,绿茵生态,105.899,86.19,22.87%,AA-,1.54,41.6%,21.4%,2025-04-29,100.000,8.67,2027-04-29,113.000,5.625,X,,16.09
123045,雷迪转债,300652.sz,雷迪克,120.789,98.17,23.05%,A+,1.92,10.3%,9.2%,2024-03-11,100.000,13.74,2026-03-11,113.000,4.490,X,,25.52
128076,金轮转债,002722.sz,金轮股份,117.89,95.5,23.45%,AA-,1.25,8.7%,8.7%,2023-10-13,100.000,10.26,2025-10-14,110.000,4.085,X,,19.06
113502,嘉澳转债,603822.ss,嘉澳环保,127.82,103.47,23.53%,AA-,3.96,5.4%,5.4%,2021-11-10,100.000,31.25,2023-11-09,108.000,2.153,X,,58.03
113567,君禾转债,603617.ss,君禾股份,114.1,92.29,23.63%,A+,2.84,10.2%,10.2%,2024-03-04,100.000,7.81,2026-03-03,113.000,4.468,X,,14.51
123109,昌红转债,300151.sz,昌红科技,122.52,99.04,23.71%,AA-,12.87,5.2%,3.3%,2025-03-31,100.000,19.64,2027-03-31,115.000,5.545,X,,36.48
123038,联得转债,300545.sz,联得装备,128.4,103.78,23.72%,A+,3.13,7.4%,3.3%,2023-12-25,100.000,16.85,2025-12-24,113.000,4.279,N,,31.29
